y,x1,x2,x3,x4,x5
367.2,0.284,23.8,2.5,105,70
368.4,0.284,24,2.5,108,72
364.2,0.284,24,2.5,108,72
364.2,0.284,24,2.5,108,72
364.2,0.284,24,2.5,108,72
367.9,0.284,23.3,2.5,109,79
369.5,0.303,23.8,2.5,109,79
390.1,0.329,23.2,2.5,109,79
390.1,0.329,23.2,2.5,109,79
390.1,0.329,23.2,2.5,109,79
390.1,0.329,23.2,2.5,109,79
364.3,0.282,23.6,2.5,108,77
368.7,0.298,23.8,2.5,108,77
362.8,0.285,23.6,2.5,105,75
362.8,0.285,23.6,2.5,105,75
362.8,0.285,23.6,2.5,105,75
367.2,0.298,23.8,2.5,105,75
371.51,0.278,24.3,2.5,116,74
377.81,0.284,24.3,2.5,116,74
376.56,0.284,24.3,2.5,116,74
372.24,0.284,24,2.5,115,74
372.25,0.284,24,2.5,115,74
372.8,0.294,23.6,2.5,106,78
386.4,0.313,22.8,2.5,107,78
380.8,0.313,22.1,2.5,107,78
383.8,0.317,22.1,2.5,107,78
385,0.325,22.1,2.5,107,78
387.1,0.32,22.2,2.5,114,77
392.1,0.32,22.2,2.5,114,77
385,0.325,22.1,2.5,107,78
390.2,0.325,22.1,2.5,107,78
390.2,0.32,22.2,2.5,112,78
391.5,0.329,22.1,2.5,110,75
389.7,0.329,23.2,2.5,110,75
390.1,0.329,23.2,2.5,110,75
388,0.316,22.2,2.5,105,79
381.7,0.31,22.2,2.5,110,79
385.2,0.31,22.2,2.5,110,79
385.2,0.31,22.2,2.5,110,79
382.6,0.31,22.2,2.5,110,79
383.7,0.31,22.2,2.5,112,81
365.71,0.257,25.1,2.5,119,79
374.7,0.277,24.8,2.5,119,78
376.6,0.281,24.8,2.5,119,78
370.26,0.273,24.8,2.5,115,77
372.95,0.273,24.8,2.5,115,77
372.96,0.273,24.8,2.5,115,77
372.98,0.268,24.8,2.5,119,77
372.98,0.268,24.8,2.5,119,77
372.8,0.268,24.8,2.5,126,77
372.8,0.268,24.8,2.5,126,77
374.7,0.279,24.3,2.5,129,77
370.9,0.276,24.3,2.5,130,80
370.9,0.276,24.3,2.5,130,80
370.7,0.276,24.4,2.5,130,80
375.3,0.279,24.4,2.5,118,77
370.8,0.276,24.6,2.5,126,81
370.8,0.276,24.6,2.5,126,81
374.13,0.28,24.7,2.5,122,80
388.5,0.302,22.8,2.5,122,80
374.59,0.28,24.7,2.5,125,80
374.59,0.28,24.7,2.5,125,80
375.92,0.28,24.7,2.5,125,80
374.79,0.28,24.7,2.5,125,80
375.91,0.28,24.7,2.5,125,80
376.4,0.282,23.9,2.5,130,79
374.1,0.282,23.9,2.5,130,79
379.1,0.286,24.2,2.5,130,79
376.8,0.286,24.2,2.5,135,79
376,0.284,24.2,2.5,135,79
376.8,0.286,24.2,2.5,135,79
377.3,0.284,24.2,2.5,128,77
377.3,0.284,24.2,2.5,128,77
378.3,0.284,24.2,2.5,128,77
378.3,0.284,24.2,2.5,128,77
378.6,0.29,23.6,2.5,119,77
382.5,0.3,22.3,2.5,119,77
382.5,0.3,22.3,2.5,119,77
382.5,0.3,22.3,2.5,119,77
380.5,0.285,23.9,2.5,123,78
380.5,0.285,23.9,2.5,123,78
381,0.295,22.2,2.5,124,79
381,0.295,22.2,2.5,124,79
385.9,0.304,22.2,2.5,124,79
385.9,0.304,22.2,2.5,124,79
385.9,0.304,22.2,2.5,124,79
392.8,0.304,22.2,2.5,124,79
392.8,0.304,22.2,2.5,124,79
394.4,0.323,23,2.5,124,79
392.8,0.304,22.2,2.5,124,79
390.3,0.304,22.2,2.5,124,79
390.3,0.304,22.2,2.5,124,79
393.8,0.323,23.2,2.5,124,79
393.8,0.323,23.2,2.5,124,79
385,0.315,22.3,2.5,119,79
389,0.315,22.3,2.5,119,79
385,0.315,22.3,2.5,118,77
386.9,0.315,22.3,2.5,118,77
386.9,0.315,22.3,2.5,121,80
386.9,0.315,22.3,2.5,121,80
386.2,0.305,22.3,2.5,121,80
386.2,0.305,22.3,2.5,121,80
384.5,0.3,22.3,2.5,119,79
384.5,0.3,22.3,2.5,119,79
389.44,0.302,22.8,2.5,125,77
362.7,0.25,25.1,2.5,122,77
363.2,0.25,25.1,2.5,122,77
360.4,0.247,25.1,2.5,122,77
360.4,0.247,25.1,2.5,122,77
363.2,0.247,25.1,2.5,129,78
363.2,0.247,25.1,2.5,129,78
360,0.247,25.1,2.5,129,78
360,0.247,25.1,2.5,137,79
373,0.267,24.6,2.5,137,79
373,0.267,24.6,2.5,137,79
373,0.267,24.6,2.5,137,79
371.3,0.266,24.9,2.5,131,81
371.33,0.266,24.9,2.5,134,78
373.65,0.271,24.7,2.5,123,80
373.65,0.271,24.7,2.5,123,80
373.7,0.271,24.7,2.5,124,78
375.6,0.271,24.7,2.5,128,77
375.6,0.271,24.7,2.5,128,77
375.6,0.271,24.7,2.5,128,77
375.6,0.271,24.8,2.5,128,77
370.3,0.267,24.7,2.5,146,79
377.4,0.27,24.7,2.5,146,79
377.4,0.27,24.7,2.5,146,79
370.7,0.279,24.7,2.5,114,78
377.2,0.284,25.2,2.5,118,77
370.2,0.282,25.2,2.5,118,77
377.2,0.284,25.2,2.5,118,77
373.76,0.286,25.1,2.5,117,79
372.18,0.286,25.1,2.5,117,79
372.25,0.286,24.9,2.5,117,79
372.25,0.286,24.9,2.5,118,79
376.54,0.286,24.9,2.5,118,79
376.54,0.286,24.9,2.5,125,80
372.69,0.286,24.9,2.5,125,80
388.8,0.306,22.8,2.5,112,71
386.2,0.303,22.8,2.5,112,71
382.7,0.295,22.6,2.5,111,81
